rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w;g1f3
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/5N1P/PPQ1PPP1/RNB1KB1R b;c7c5
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/5N1P/PP1BPPP1/RN1QKB1R b;h7h6
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/1Q3N1P/PP2PPP1/RNB1KB1R b;a7a5
rnbqkb1r/ppp2ppp/4p3/3P4/3Pn3/5N1P/PP2PPP1/RNBQKB1R b;f8b4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;c4d5
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5N1P/PP2PPP1/RNBQKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b;d5c4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/4BN1P/PP2PPP1/RN1QKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/N4N1P/PP2PPP1/R1BQKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP2P1/5N1P/PP2PP2/RNBQKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP1B2/5N1P/PP2PPP1/RN1QKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/5N1P/PP1BPPP1/RN1QKB1R b;c5d4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/P4N1P/1P2PPP1/RNBQKB1R b;d5c4
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/5N1P/PP2PPP1/RNBQKB1R w;b1c3
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b;f8d6
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP1B2/5N1P/PP2PPP1/RN1QKB1R b;f8b4
rnbqkb1r/p1p2ppp/1p2pn2/3P4/3P4/5N1P/PP2PPP1/RNBQKB1R b;e6d5
rnbqkb1r/p1p2ppp/1p2pn2/3p2B1/2PP4/5N1P/PP2PPP1/RN1QKB1R b;h7h6
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/P4N1P/1P2PPP1/RNBQKB1R b;f8d6
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;f8d6
rnbqkb1r/p1p2ppp/1p2pn2/3pN3/2PP4/7P/PP2PPP1/RNBQKB1R b;f8d6
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/5N1P/PP1BPPP1/RN1QKB1R b;f6e4
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/5N1P/PP1NPPP1/R1BQKB1R b;c8a6
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/5N1P/PPQ1PPP1/RNB1KB1R b;c8a6
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP2PPP1/RNBQKB1R w;c1d2
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP1BPPP1/RN1QKB1R b;a7a5
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP1NPPP1/R1BQKB1R b;c7c5
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N1P/PP2PPP1/R1BQKB1R b;c7c5
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/7P/PP1NPPP1/RNBQKB1R b;c7c5
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP1QPPP1/RNB1KB1R b;b4d2
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP1BPPP1/RN1QKB1R b;b4e7
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP1NPPP1/R1BQKB1R b;c7c5
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N1P/PP2PPP1/R1BQKB1R b;d5c4
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/7P/PP1NPPP1/RNBQKB1R b;c7c5
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N1P/PP1QPPP1/RNB1KB1R b;b4d2
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NPP/PP1PPP2/RNBQKB1R b;c7c6
